iter	Passed	Remaining
172	2601	12437
173	2615	12417
174	2637	12435
175	2650	12408
176	2664	12386
177	2676	12359
178	2697	12371
179	2710	12346
180	2723	12322
181	2740	12315
182	2754	12296
183	2779	12327
184	2793	12306
185	2810	12300
186	2825	12284
187	2840	12267
188	2853	12243
189	2865	12215
190	2885	12222
191	2900	12207
192	2919	12205
193	2935	12196
194	2951	12185
195	2963	12156
196	2978	12142
197	2993	12124
198	3004	12092
199	3016	12065
200	3027	12036
201	3038	12004
202	3051	11980
203	3063	11955
204	3074	11924
205	3087	11899
206	3098	11870
207	3109	11839
208	3124	11824
209	3135	11794
210	3148	11772
211	3158	11741
212	3169	11710
213	3184	11698
214	3197	11673
215	3210	11652
216	3225	11639
217	3240	11623
218	3256	11612
219	3281	11632
220	3295	11616
221	3319	11632
222	3335	11622
223	3347	11596
224	3378	11636
225	3397	11635
226	3434	11696
227	3472	11757
228	3493	11761
229	3506	11738
230	3517	11709
231	3529	11685
232	3542	11660
233	3554	11635
234	3572	11630
235	3589	11619
236	3616	11641
237	3645	11672
238	3661	11659
239	3677	11643
240	3688	11616
241	3700	11589
242	3716	11577
243	3731	11562
244	3750	11556
245	3764	11539
246	3780	11524
247	3793	11503
248	3807	11483
249	3822	11466
250	3835	11444
251	3847	11419
252	3862	11405
253	3876	11386
254	3891	11368
255	3907	11356
256	3921	11337
257	3939	11330
258	3951	11305
259	3964	11283
260	3978	11263
261	3990	11241
262	4010	11238
263	4026	11224
264	4040	11206
265	4056	11192
266	4078	11195
267	4090	11171
268	4102	11149
269	4115	11125
270	4133	11119
271	4147	11101
272	4163	11087
273	4180	11077
274	4200	11074
275	4220	11071
276	4240	11068
277	4258	11059
278	4273	11042
279	4290	11031
280	4305	11016
281	4330	11025
282	4344	11008
283	4369	11016
284	4404	11049
285	4462	11141
286	4491	11158
287	4505	11137
288	4517	11115
289	4539	11113
290	4560	11110
291	4574	11091
292	4590	11077
293	4605	11058
294	4620	11041
295	4639	11034
296	4653	11015
297	4670	11001
298	4683	10980
299	4696	10958
300	4716	10953
301	4729	10930
302	4744	10912
303	4760	10898
304	4774	10879
305	4793	10872
306	4811	10860
307	4823	10837
308	4844	10833
309	4859	10815
310	4871	10793
311	4889	10782
312	4902	10759
313	4914	10737
314	4930	10721
315	4942	10697
316	4964	10695
317	4980	10680
318	4996	10665
319	5016	10660
320	5036	10654
321	5048	10629
322	5061	10609
323	5078	10594
324	5091	10574
325	5104	10554
326	5119	10535
327	5135	10520
328	5154	10512
329	5174	10505
330	5192	10494
331	5215	10494
332	5229	10474
333	5244	10457
334	5254	10431
335	5273	10421
336	5287	10401
337	5297	10374
338	5319	10373
339	5335	10358
340	5357	10353
341	5370	10331
342	5388	10320
343	5404	10307
344	5432	10313
345	5449	10301
346	5467	10288
347	5481	10270
348	5493	10247
349	5510	10234
350	5532	10229
351	5545	10208
352	5567	10205
353	5586	10195
354	5598	10171
355	5617	10161
356	5631	10143
357	5645	10124
358	5670	10124
359	5689	10115
360	5704	10097
361	5724	10088
362	5744	10080
363	5760	10065
364	5774	10046
365	5788	10027
366	5802	10008
367	5820	9996
368	5835	9978
369	5852	9965
370	5869	9952
371	5887	9939
372	5904	9924
373	5926	9919
374	5939	9898
375	5956	9885
376	5968	9863
377	5983	9846
378	5997	9826
379	6016	9816
380	6035	9804
381	6056	9798
382	6070	9779
383	6081	9755
384	6102	9747
385	6113	9724
386	6128	9707
387	6140	9685
388	6156	9669
389	6171	9652
390	6187	9636
391	6198	9613
392	6209	9591
393	6220	9568
394	6231	9544
395	6243	9523
396	6261	9510
397	6278	9496
398	6321	9521
399	6339	9508
400	6357	9496
401	6390	9505
402	6436	9535
403	6448	9513
404	6466	9499
405	6486	9489
406	6507	9481
407	6527	9471
408	6545	9458
409	6560	9440
410	6575	9422
411	6590	9406
412	6605	9388
413	6622	9373
414	6637	9356
415	6650	9336
416	6675	9333
417	6689	9313
418	6708	9301
419	6723	9285
420	6739	9268
421	6752	9248
422	6768	9232
423	6783	9214
424	6799	9199
425	6813	9180
426	6826	9160
427	6840	9141
428	6857	9126
429	6893	9137
430	6904	9115
431	6919	9097
432	6931	9076
433	6957	9073
434	6978	9064
435	7003	9060
436	7021	9046
437	7046	9040
438	7071	9037
439	7113	9053
440	7138	9048
441	7166	9047
442	7190	9040
443	7212	9031
444	7230	9017
445	7246	9001
446	7287	9015
447	7301	8996
448	7313	8974
449	7327	8955
450	7337	8931
451	7355	8917
452	7400	8935
453	7439	8947
454	7455	8929
455	7475	8918
456	7492	8901
457	7512	8890
458	7531	8876
459	7547	8859
460	7562	8841
461	7576	8823
462	7593	8806
463	7606	8786
464	7618	8765
465	7630	8744
466	7645	8726
467	7667	8716
468	7682	8697
469	7700	8683
470	7721	8672
471	7740	8658
472	7754	8639
473	7769	8622
474	7781	8600
475	7800	8587
476	7813	8567
477	7829	8550
478	7846	8533
479	7865	8521
480	7878	8500
481	7901	8491
482	7921	8478
483	7932	8456
484	7946	8438
485	7958	8417
486	7970	8395
487	7988	8381
488	8004	8364
489	8020	8347
490	8033	8328
491	8049	8310
492	8060	8289
493	8077	8273
494	8088	8251
495	8101	8231
496	8113	8211
497	8123	8189
498	8136	8168
499	8166	8166
500	8177	8144
501	8197	8131
502	8209	8111
503	8222	8092
504	8241	8078
505	8260	8064
506	8273	8044
507	8287	8026
508	8298	8005
509	8309	7983
510	8320	7962
511	8334	7943
512	8346	7923
513	8390	7933
514	8413	7922
515	8440	7916
516	8453	7897
517	8468	7879
518	8487	7865
519	8505	7851
520	8517	7830
521	8531	7812
522	8543	7792
523	8557	7773
524	8568	7752
525	8579	7731
526	8592	7712
527	8607	7694
528	8621	7676
529	8632	7655
530	8643	7634
531	8664	7621
532	8679	7604
533	8702	7594
534	8717	7577
535	8740	7566
536	8756	7549
537	8770	7531
538	8797	7524
539	8812	7507
540	8826	7488
541	8839	7469
542	8863	7459
543	8894	7455
544	8931	7456
545	8970	7458
546	8999	7452
547	9036	7453
548	9049	7433
549	9061	7414
550	9074	7395
551	9086	7374
552	9100	7356
553	9114	7338
554	9127	7318
555	9140	7299
556	9153	7280
557	9171	7265
558	9196	7255
559	9212	7238
560	9223	7217
561	9235	7198
562	9251	7180
563	9261	7159
564	9275	7141
565	9287	7121
566	9298	7100
567	9309	7080
568	9322	7061
569	9333	7040
570	9362	7034
571	9384	7021
572	9399	7004
573	9423	6993
574	9439	6976
575	9453	6958
576	9467	6940
577	9480	6921
578	9491	6901
579	9504	6882
580	9519	6864
581	9533	6847
582	9547	6828
583	9560	6810
584	9576	6793
585	9597	6780
586	9612	6763
587	9629	6747
588	9643	6729
589	9657	6711
590	9672	6693
591	9686	6675
592	9701	6658
593	9717	6641
594	9732	6624
595	9746	6606
596	9763	6590
597	9780	6574
598	9791	6555
599	9805	6537
600	9820	6519
601	9849	6511
602	9873	6500
603	9887	6482
604	9900	6464
605	9917	6447
606	9928	6428
607	9938	6408
608	9949	6388
609	9965	6371
610	9980	6354
611	9994	6336
612	10007	6317
613	10019	6299
614	10033	6280
615	10045	6261
616	10059	6244
617	10076	6228
618	10091	6211
619	10108	6195
620	10124	6179
621	10143	6164
622	10155	6145
623	10167	6126
624	10191	6114
625	10229	6111
626	10243	6093
627	10259	6076
628	10273	6059
629	10285	6040
630	10304	6025
631	10321	6009
632	10334	5991
633	10355	5977
634	10374	5963
635	10408	5956
636	10423	5939
637	10436	5921
638	10449	5903
639	10463	5885
640	10479	5869
641	10496	5853
642	10510	5835
643	10526	5818
644	10540	5801
645	10552	5782
646	10568	5766
647	10580	5747
648	10594	5729
649	10609	5712
650	10624	5695
651	10640	5679
652	10651	5660
653	10663	5641
654	10679	5625
655	10697	5609
656	10713	5593
657	10729	5576
658	10743	5559
659	10755	5540
660	10768	5522
661	10780	5504
662	10798	5488
663	10809	5469
664	10822	5451
665	10837	5434
666	10851	5417
667	10863	5399
668	10873	5379
669	10884	5360
670	10894	5341
671	10905	5323
672	10916	5304
673	10928	5286
674	10946	5270
675	10957	5251
676	10967	5232
677	10979	5214
678	10993	5197
679	11007	5180
680	11024	5164
681	11038	5146
682	11048	5128
683	11063	5111
684	11079	5095
685	11095	5078
686	11106	5060
687	11116	5041
688	11128	5023
689	11142	5006
690	11160	4990
691	11177	4974
692	11194	4959
693	11207	4941
694	11220	4923
695	11231	4905
696	11246	4888
697	11257	4870
698	11271	4853
699	11284	4836
700	11297	4818
701	11309	4800
702	11325	4784
703	11350	4772
704	11390	4766
705	11408	4750
706	11427	4735
707	11452	4723
708	11479	4711
709	11492	4694
710	11505	4676
711	11519	4659
712	11535	4643
713	11550	4626
714	11562	4608
715	11581	4593
716	11605	4580
717	11626	4566
718	11639	4548
719	11656	4533
720	11673	4517
721	11687	4500
722	11702	4483
723	11726	4470
724	11737	4452
725	11749	4434
726	11763	4417
727	11778	4400
728	11795	4384
729	11809	4367
730	11822	4350
731	11840	4335
732	11862	4320
733	11882	4306
734	11897	4289
735	11919	4275
736	11936	4259
737	11953	4243
738	11981	4231
739	11996	4214
740	12009	4197
741	12023	4180
742	12036	4163
743	12050	4146
744	12066	4130
745	12081	4113
746	12092	4095
747	12104	4077
748	12135	4066
749	12152	4050
750	12166	4033
751	12184	4018
752	12206	4003
753	12220	3987
754	12242	3972
755	12264	3958
756	12281	3942
757	12295	3925
758	12325	3913
759	12353	3900
760	12376	3886
761	12398	3872
762	12412	3855
763	12424	3837
764	12435	3820
765	12447	3802
766	12461	3785
767	12472	3767
768	12483	3750
769	12495	3732
770	12508	3715
771	12519	3697
772	12530	3679
773	12541	3661
774	12552	3644
775	12565	3627
776	12576	3609
777	12587	3591
778	12600	3574
779	12610	3556
780	12621	3539
781	12632	3521
782	12644	3504
783	12655	3486
784	12665	3468
785	12679	3452
786	12694	3435
787	12716	3421
788	12734	3405
789	12749	3389
790	12767	3373
791	12783	3357
792	12796	3340
793	12816	3325
794	12833	3309
795	12847	3292
796	12859	3275
797	12871	3258
798	12887	3242
799	12904	3226
800	12918	3209
801	12933	3192
802	12946	3176
803	12956	3158
804	12968	3141
805	12981	3124
806	12997	3108
807	13010	3091
808	13022	3074
809	13033	3057
810	13046	3040
811	13058	3023
812	13069	3006
813	13081	2989
814	13093	2972
815	13109	2956
816	13122	2939
817	13134	2922
818	13146	2905
819	13157	2888
820	13169	2871
821	13181	2854
822	13193	2837
823	13206	2820
824	13219	2804
825	13231	2787
826	13245	2770
827	13260	2754
828	13277	2738
829	13299	2724
830	13341	2713
831	13377	2701
832	13396	2685
833	13412	2669
834	13432	2654
835	13444	2637
836	13459	2621
837	13474	2604
838	13490	2588
839	13501	2571
840	13512	2554
841	13524	2537
842	13535	2520
843	13557	2505
844	13589	2492
845	13601	2475
846	13613	2459
847	13629	2443
848	13641	2426
849	13655	2409
850	13666	2392
851	13679	2376
852	13693	2359
853	13704	2342
854	13716	2326
855	13728	2309
856	13739	2292
857	13750	2275
858	13763	2259
859	13776	2242
860	13790	2226
861	13801	2209
862	13813	2192
863	13825	2176
864	13847	2161
865	13870	2146
866	13884	2129
867	13911	2115
868	13929	2099
869	13940	2083
870	13957	2067
871	13972	2051
872	13986	2034
873	14002	2018
874	14017	2002
875	14031	1986
876	14044	1969
877	14057	1953
878	14074	1937
879	14088	1921
880	14103	1905
881	14117	1888
882	14130	1872
883	14142	1855
884	14154	1839
885	14169	1823
886	14182	1806
887	14192	1790
888	14214	1774
889	14229	1758
890	14244	1742
891	14256	1726
892	14276	1710
893	14292	1694
894	14316	1679
895	14343	1664
896	14372	1650
897	14387	1634
898	14400	1617
899	14414	1601
900	14429	1585
901	14440	1568
902	14457	1552
903	14467	1536
904	14482	1520
905	14495	1503
906	14507	1487
907	14520	1471
908	14532	1454
909	14542	1438
910	14555	1422
911	14567	1405
912	14578	1389
913	14591	1372
914	14604	1356
915	14615	1340
916	14630	1324
917	14644	1308
918	14657	1291
919	14670	1275
920	14684	1259
921	14698	1243
922	14710	1227
923	14739	1212
924	14751	1196
925	14772	1180
926	14786	1164
927	14801	1148
928	14820	1132
929	14838	1116
930	14853	1100
931	14877	1085
932	14892	1069
933	14910	1053
934	14926	1037
935	14939	1021
936	14959	1005
937	14972	989
938	14986	973
939	14998	957
940	15008	941
941	15022	924
942	15040	909
943	15062	893
944	15085	878
945	15104	862
946	15119	846
947	15132	830
948	15145	813
949	15174	798
950	15199	783
951	15219	767
952	15232	751
953	15249	735
954	15263	719
955	15283	703
956	15308	687
957	15329	672
958	15356	656
959	15371	640
960	15383	624
961	15397	608
962	15410	592
963	15431	576
964	15446	560
965	15460	544
966	15474	528
967	15487	511
968	15500	495
969	15515	479
970	15529	463
971	15540	447
972	15554	431
973	15568	415
974	15580	399
975	15594	383
976	15609	367
977	15622	351
978	15635	335
979	15647	319
980	15658	303
981	15673	287
982	15689	271
983	15704	255
984	15725	239
985	15754	223
986	15772	207
987	15785	191
988	15798	175
989	15815	159
990	15828	143
991	15858	127
992	15873	111
993	15885	95
994	15899	79
995	15917	63
996	15934	47
997	15949	31
998	15967	15
999	15987	0
